,stockname,avg_profit,num_trades
0,JPASSOCIAT,0.7007225194498891,1146
1,GMRINFRA,0.3254293101548913,1018
2,ASHOKLEY,1.1286631027885328,2056
3,SUZLON,0.34012710627306547,865
4,IBREALEST,3.225870310957722,1917
5,RELCAPITAL,10.24795016759667,2021
6,ADANIENT,3.5715479651356765,1922
7,DLF,3.471669812610399,2169
8,IDFC,0.7354114204206988,1960
9,SOUTHBANK,0.41051760432833967,921
10,VEDL,4.655832994517034,2306
11,SAIL,0.9688423364250062,1835
12,IDFCBANK,0.5963215420021832,2250
13,FEDERALBNK,1.3339528323169578,1912
14,BANKBARODA,2.8189974791903825,2788
15,MANAPPURAM,1.6602826517832234,2367
16,HINDALCO,3.2759119166018595,1949
17,TATASTEEL,5.950239332550352,2280
18,SBIN,3.3553906428213565,2269
19,JINDALSTEL,2.5858422483431087,2179
20,RCOM,0.8414355800913973,2131
21,HDIL,2.413693454649852,1990
22,L&TFH,1.5208451063910664,1666
23,TATAMOTORS,8.37334111104872,2771
24,NMDC,1.8489672977973197,2500
25,ADANIPOWER,1.096391483365814,1587
26,HCC,0.7777181529490339,1998
27,INDIACEM,4.020442688810824,2185
28,ICICIBANK,3.5749346373309647,2429
29,SUNTV,14.290242873912046,2555
30,RELINFRA,10.316318854033357,2226
31,PNB,2.6091346635015764,2462
32,JSWSTEEL,35.072313678288076,2471
33,APOLLOTYRE,3.613539056012499,2268
34,MOTHERSUMI,8.2745993353793,2189
35,TATAGLOBAL,1.5906058297061365,2229
36,RECLTD,3.4225637366624033,2423
37,ONGC,1.7960370322655659,2882
38,RPOWER,0.6283531846900492,1632
39,IDEA,1.993074016588233,2567
40,JSWENERGY,1.0986204692584574,2136
41,IFCI,0.6523043944586334,1186
42,DHFL,6.4042371716819915,1712
43,TV18BRDCST,0.6220080251998146,1822
44,CANBK,5.510992136568569,2412
45,BANKINDIA,3.140706907543871,2125
46,ORIENTBANK,2.967203431612744,2252
47,PFC,2.7797259682573623,2489
48,EXIDEIND,2.657011878474101,2538
49,NCC,1.372502650522536,2324
50,KTKBANK,2.270718822136456,2364
51,BHARATFIN,14.286842719222433,2670
52,M&MFIN,5.570142504978733,2485
53,GRASIM,20.232746852382082,2128
54,NATIONALUM,1.1497432134830543,2309
55,AXISBANK,6.089406385148078,2626
56,UNIONBANK,3.5328283908651352,2412
57,AUROPHARMA,10.214723531725987,2831
58,INFIBEAM,61.34789002839558,2496
59,BEL,44.90402090980543,2517
60,ESCORTS,11.279517111867698,2110
61,FORTIS,3.6429950629582644,3117
62,ALBK,1.3701523097970472,2149
63,HINDPETRO,12.469884779700298,2366
64,MRPL,2.1995412677118105,2285
65,IDBI,1.1294444667290036,2429
66,TATAPOWER,0.7037938628924267,2025
67,PTC,1.3792807449785753,1926
68,NHPC,0.3281096160020258,914
69,NTPC,1.4115734966723992,2486
70,SUNPHARMA,10.880792826923372,2986
71,IOC,5.070152485031824,2667
72,BPCL,15.875481444599165,2575
73,INFY,11.851691234649776,2887
74,RELIANCE,14.151668210320514,2711
75,DISHTV,1.53938949327689,2463
76,JUSTDIAL,8.86269758085272,3221
77,ITC,3.796621159171925,2333
78,BHEL,2.2747628252126697,2468
79,SYNDIBANK,1.4510885747789732,2033
80,TATAMTRDVR,5.259170968073239,2783
81,HINDZINC,4.6754803400432134,2483
82,CESC,10.690252285175372,2048
83,GAIL,8.329434288751095,2620
84,JISLJALEQS,1.7189357832705783,2404
85,COALINDIA,3.2082907910267435,3338
86,PCJEWELLER,13.766970535914961,2498
87,ANDHRABANK,1.0489637096037414,1784
88,CGPOWER,1.5441748073304824,1285
89,POWERGRID,1.7004691061059964,2172
90,GSFC,2.6948262884912597,2183
91,AMBUJACEM,2.685581598620146,2229
92,ADANIPORTS,4.355834486422689,2285
93,SREINFRA,2.346312108787194,2042
94,EQUITAS,2.4187508318378157,2724
95,IRB,3.630195419085542,2598
96,DCBBANK,2.8005035125473934,1871
97,YESBANK,19.387602620978065,2292
98,LICHSGFIN,7.116960833144958,2352
99,VOLTAS,5.69180153738166,2186
100,TVSMOTOR,4.715595564716475,1771
101,RDEL,1.0359205232083009,2212
102,KOTAKBANK,7.116353616124092,1897
103,SRTRANSFIN,13.67538266909433,2815
104,UJJIVAN,6.590108793130697,3146
105,WIPRO,15.226016502662498,1765
106,PETRONET,9.540249556337548,2697
107,BALRAMCHIN,1.9703569094378133,2267
108,BHARTIARTL,3.573189147302856,2302
109,HDFCBANK,7.653805554071592,1840
110,RNAVAL,,0
