,stockname,avg_profit,num_trades
0,JPASSOCIAT,0.1431971394606654,231
1,GMRINFRA,0.09126109606470326,104
2,ASHOKLEY,0.44149314107278237,1416
3,SUZLON,0.14104301680583947,116
4,IBREALEST,1.1646739297336088,1580
5,RELCAPITAL,3.696116646652755,2235
6,ADANIENT,1.9340782879682163,1560
7,DLF,1.2527202143241967,1510
8,IDFC,0.29392758250596,914
9,SOUTHBANK,0.7053332401310619,92
10,VEDL,2.047745994831525,2419
11,SAIL,0.4111786137496308,1224
12,IDFCBANK,0.3161150373751193,631
13,FEDERALBNK,0.39633605551648315,1074
14,BANKBARODA,1.2297064464037695,1916
15,MANAPPURAM,0.5897193546456084,1829
16,HINDALCO,1.286944505651171,2099
17,TATASTEEL,3.1345575874998985,2430
18,SBIN,1.2194378519956144,2048
19,JINDALSTEL,1.0513397323057305,1935
20,RCOM,0.2605144810339641,911
21,HDIL,0.5989761494851076,1177
22,L&TFH,0.5073638174089066,1137
23,TATAMOTORS,3.310670927147742,2548
24,NMDC,0.810895136846923,1878
25,ADANIPOWER,0.8522030640884628,665
26,HCC,0.2834939530315165,725
27,INDIACEM,1.265606359788411,1906
28,ICICIBANK,1.481272697334046,2356
29,SUNTV,3.3677450464413052,2113
30,RELINFRA,3.7012260672311945,2266
31,PNB,1.0657417980001673,1599
32,JSWSTEEL,25.161536504837848,2202
33,APOLLOTYRE,1.0958572447601245,1992
34,MOTHERSUMI,1.8480885940169414,2109
35,TATAGLOBAL,0.6599661144974238,1547
36,RECLTD,1.1671804838186592,1752
37,ONGC,0.8020562914042225,2104
38,RPOWER,0.2355541990324778,595
39,IDEA,1.066215380583978,2027
40,JSWENERGY,0.40069772171419793,1464
41,IFCI,0.2762455197055953,199
42,DHFL,1.8167607179618999,1785
43,TV18BRDCST,0.23787686229724403,596
44,CANBK,1.6911216786969527,2067
45,BANKINDIA,0.8160372911610546,1492
46,ORIENTBANK,0.9401580682933145,1682
47,PFC,0.9881698689517252,1831
48,EXIDEIND,1.0939250436024783,1867
49,NCC,0.5506198901754112,1440
50,KTKBANK,0.7975831229358855,1478
51,BHARATFIN,6.911038513601817,2696
52,M&MFIN,2.1770265912796303,2472
53,GRASIM,5.679313444937059,2245
54,NATIONALUM,0.6780348320470952,1636
55,AXISBANK,3.048462449869688,2562
56,UNIONBANK,1.1893376376227567,1915
57,AUROPHARMA,4.352247315206872,2885
58,INFIBEAM,11.947711002105477,2459
59,BEL,27.817787508459315,2232
60,ESCORTS,2.4658398472421776,1876
61,FORTIS,1.3067008538619909,2345
62,ALBK,0.41522069168992515,971
63,HINDPETRO,3.7067916557610037,2397
64,MRPL,0.7967547188404349,1777
65,IDBI,0.4417245387701806,1228
66,TATAPOWER,0.3776644772103524,893
67,PTC,0.512970930619796,1198
68,NHPC,0.34183679709593945,182
69,NTPC,0.7290111561780946,2004
70,SUNPHARMA,3.4397254318345856,2811
71,IOC,2.0817450648876967,2408
72,BPCL,4.49828728059761,2658
73,INFY,5.297200044441163,2848
74,RELIANCE,5.870903491016992,2566
75,DISHTV,0.6277592113249224,1472
76,JUSTDIAL,4.312608880974248,2611
77,ITC,1.4449298476378156,2110
78,BHEL,0.8795265094261381,1634
79,SYNDIBANK,0.3729213845916512,1067
80,TATAMTRDVR,2.1978832999924847,2362
81,HINDZINC,2.2612123708225744,2509
82,CESC,3.609617150876002,2258
83,GAIL,4.181134786310009,2318
84,JISLJALEQS,0.559331347715556,1491
85,COALINDIA,1.7580272693661272,2418
86,PCJEWELLER,2.8516188795983366,2393
87,ANDHRABANK,0.2804803785136537,508
88,CGPOWER,0.261286898776515,258
89,POWERGRID,0.8267960801435479,1842
90,GSFC,0.8255597246233294,1839
91,AMBUJACEM,1.1669232342433182,2139
92,ADANIPORTS,2.1457720417820707,2294
93,SREINFRA,0.650594491122889,1660
94,EQUITAS,0.8979149446970223,2193
95,IRB,1.4920797933750802,2092
96,DCBBANK,0.9234750827678676,1542
97,YESBANK,6.610453133641562,2053
98,LICHSGFIN,2.104759475067124,2147
99,VOLTAS,1.970353679445912,2177
100,TVSMOTOR,1.734260814540182,2115
101,RDEL,0.41411697392754465,1040
102,KOTAKBANK,3.1387698512242,2108
103,SRTRANSFIN,6.1113455483296395,2721
104,UJJIVAN,2.7697266542918744,2695
105,WIPRO,2.3444832034669396,2096
106,PETRONET,2.3761565864845777,2479
107,BALRAMCHIN,0.9280562701349248,1993
108,BHARTIARTL,2.1142107380843043,2412
109,HDFCBANK,4.356015457592036,1924
110,RNAVAL,,0
