,stockname,avg_profit,num_trades
0,JPASSOCIAT,1.3624525075,169
1,GMRINFRA,0.8549516197,119
2,ASHOKLEY,3.373681149,181
3,SUZLON,0.7168093452,223
4,IBREALEST,4.6684037274,82
5,RELCAPITAL,37.3992661638,96
6,ADANIENT,12.2322496929,142
7,DLF,8.676636123,186
8,IDFC,2.0171993482,272
9,SOUTHBANK,1.0712872871,102
10,VEDL,13.1739269967,163
11,SAIL,1.8607230241,258
12,IDFCBANK,2.6250198089,257
13,FEDERALBNK,3.2815876262,167
14,BANKBARODA,10.1332557879,327
15,MANAPPURAM,3.6436957789,262
16,HINDALCO,2.7423308314,128
17,TATASTEEL,16.2864902878,121
18,SBIN,7.3666518078,200
19,JINDALSTEL,6.0476147273,183
20,RCOM,4.2171641492,284
21,HDIL,9.1461188977,231
22,L&TFH,1.4524730467,20
23,TATAMOTORS,26.8723767221,405
24,NMDC,6.6249231898,329
25,ADANIPOWER,3.1338040669,265
26,HCC,1.9937513267,359
27,INDIACEM,8.8384521736,267
28,ICICIBANK,7.8419641774,223
29,SUNTV,47.1127365265,248
30,RELINFRA,32.4030856628,245
31,PNB,8.4438097158,217
32,JSWSTEEL,90.4666863804,130
33,APOLLOTYRE,4.8275705931,184
34,MOTHERSUMI,48.9388486188,193
35,TATAGLOBAL,1.6451974558,68
36,RECLTD,11.389812864,273
37,ONGC,5.423736691,501
38,RPOWER,2.6604953091,231
39,IDEA,6.1831951543,341
40,JSWENERGY,2.0418301222,170
41,IFCI,2.1112498817,228
42,DHFL,8.9593686411,69
43,TV18BRDCST,2.2530648673,227
44,CANBK,11.8064073048,246
45,BANKINDIA,14.2439264782,181
46,ORIENTBANK,10.2685602872,256
47,PFC,9.7538786132,272
48,EXIDEIND,8.2396988758,273
49,NCC,3.0860183275,294
50,KTKBANK,9.0186419795,186
51,BHARATFIN,35.7344324967,239
52,M&MFIN,4.7306654068,89
53,GRASIM,52.4143102509,131
54,NATIONALUM,2.4313903514,277
55,AXISBANK,9.3407536154,213
56,UNIONBANK,10.557072562,264
57,AUROPHARMA,26.6630269351,331
58,INFIBEAM,195.9384037858,289
59,BEL,367.231770026,268
60,ESCORTS,36.2809915664,167
61,FORTIS,12.3321156582,381
62,ALBK,4.8624667252,217
63,HINDPETRO,44.2788342068,280
64,MRPL,3.5394420163,234
65,IDBI,4.2613927887,401
66,TATAPOWER,2.0199854601,279
67,PTC,2.7328228407,126
68,NHPC,0.7612992522,198
69,NTPC,3.8944029426,291
70,SUNPHARMA,45.7085325381,352
71,IOC,17.5895008992,213
72,BPCL,69.041030661,295
73,INFY,33.4084306079,308
74,RELIANCE,31.1024049466,144
75,DISHTV,5.7022870826,333
76,JUSTDIAL,41.6709657218,350
77,ITC,10.7272630336,221
78,BHEL,12.1912009202,262
79,SYNDIBANK,5.3425732868,258
80,TATAMTRDVR,17.8406397495,433
81,HINDZINC,17.486369996,263
82,CESC,33.3296401599,126
83,GAIL,33.4954912764,310
84,JISLJALEQS,4.1203014166,254
85,COALINDIA,11.8173919313,455
86,PCJEWELLER,76.1646761872,209
87,ANDHRABANK,3.7904298164,251
88,CGPOWER,3.4346327265,169
89,POWERGRID,3.4424723703,207
90,GSFC,5.2421940714,150
91,AMBUJACEM,6.5607598774,117
92,ADANIPORTS,9.6150101465,73
93,SREINFRA,3.7461404832,190
94,EQUITAS,6.3275847287,300
95,IRB,10.4635294366,270
96,DCBBANK,8.1062950539,156
97,YESBANK,68.8720469348,150
98,LICHSGFIN,40.7554100356,153
99,VOLTAS,8.4240667502,76
100,TVSMOTOR,4.8289329977,24
101,RDEL,3.8517308042,250
102,KOTAKBANK,9.9739227445,94
103,SRTRANSFIN,27.7178452181,267
104,UJJIVAN,31.0837233018,311
105,WIPRO,78.6226470415,224
106,PETRONET,79.3021620397,206
107,BALRAMCHIN,5.2881532928,199
108,BHARTIARTL,9.2022527923,134
109,HDFCBANK,11.9817097686,53
110,RNAVAL,,0
